Number of Pulses: 50
Initial Voltage Duration (ms): 1000
Initial Voltage (V):-2.000000E+0
Read Voltage (V):50.000000E-3
ON Voltage (V):2.000000E+0
tON (ms):1
OFF Voltage (V):0.000000E+0
tOFF (ms):100
tWait (ms):100
Temperature (K): 449.100000E+0
Time stamp (s), Voltage (V), Current (A), Voltage (V), Current (A),Resistance (Ohm)
1.1726599979401E+2,5.000000E-2,2.742800E-8,-5.000000E-2,-2.413200E-8,1.906978E+6
1.1776599979401E+2,2.000000E+0,+001.933E-03,,,1.034661E+3
1.1778200006485E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
1.2046899986267E+2,5.000000E-2,2.781200E-8,-5.000000E-2,-2.462700E-8,1.923965E+6
1.2096899986267E+2,2.000000E+0,+001.933E-03,,,1.034661E+3
1.2098500013351E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
1.2367199993134E+2,5.000000E-2,2.766400E-8,-5.000000E-2,-2.431200E-8,1.899985E+6
1.2417199993134E+2,2.000000E+0,+001.939E-03,,,1.031460E+3
1.2418799972534E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
1.2687500000000E+2,5.000000E-2,2.784000E-8,-5.000000E-2,-2.479200E-8,1.924557E+6
1.2737500000000E+2,2.000000E+0,+001.939E-03,,,1.031460E+3
1.2739099979401E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
1.3007899999619E+2,5.000000E-2,2.726900E-8,-5.000000E-2,-2.469100E-8,1.916884E+6
1.3057899999619E+2,2.000000E+0,+001.939E-03,,,1.031460E+3
1.3059399986267E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
1.3328200006485E+2,5.000000E-2,2.781200E-8,-5.000000E-2,-2.435600E-8,1.920713E+6
1.3378200006485E+2,2.000000E+0,+001.939E-03,,,1.031460E+3
1.3379699993134E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
1.3648500013351E+2,5.000000E-2,2.760700E-8,-5.000000E-2,-2.445700E-8,1.902153E+6
1.3698500013351E+2,2.000000E+0,+001.939E-03,,,1.031460E+3
1.3700000000000E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
